name,class
BetMoose.com,gambling
SatoshiCircle.com,gambling
PrimeDice.com-old,gambling
BtcDice.com,gambling
PocketRocketsCasino.eu,gambling
Crypto-Games.net,gambling
BitZino.com,gambling
Betcoin.ag,gambling
PrimeDice.com,gambling
DiceBitco.in,gambling
777Coin.com,gambling
FairProof.com,gambling
BTCOracle.com,gambling
999Dice.com,gambling
LuckyB.it,gambling
EveryDice.com,gambling
SealsWithClubs.eu,gambling
BetChain.com,gambling
CoinRoyale.com-old2,gambling
Peerbet.org,gambling
BitcoinVideoCasino.com-old2,gambling
SecondsTrade.com,gambling
CoinRoyale.com-old,gambling
Just-Dice.com,gambling
BitStarz.com,gambling
CoinRoyale.com,gambling
Playt.in,gambling
PrimeDice.com-old3,gambling
Birwo.com-old,gambling
JetWin.com,gambling
BitMillions.com,gambling
BetcoinDice.tm,gambling
BitAces.me,gambling
BetsOfBitco.in,gambling
Satoshi-Karoshi.com-old,gambling
CloudBet.com,gambling
DiceNow.com,gambling
PrimeDice.com-old2,gambling
DaDice.com,gambling
Bitcoin-Roulette.com,gambling
PrimeDice.com-old4,gambling
Ice-Dice.com,gambling
Coinichiwa.com,gambling
Betcoins.net,gambling
BitcoinVideoCasino.com-old,gambling
SatoshiDice.com-original,gambling
Satoshi-Karoshi.com,gambling
BIToomBa.com,gambling
Coinroll.com,gambling
SwCPoker.eu,gambling
BitcoinVideoCasino.com,gambling
FortuneJack.com,gambling
AnoniBet.com,gambling
NitrogenSports.eu,gambling
BitcoinPokerTables.com,gambling
PocketDice.io,gambling
Rollin.io,gambling
Igot.com,exchange
Coinimal.com,exchange
CleverCoin.com,exchange
Bter.com-old3,exchange
BitKonan.com,exchange
YoBit.net,exchange
AllCrypt.com,exchange
BitcoinVietnam.com.vn,exchange
Ccedk.com,exchange
HitBtc.com,exchange
BTradeAustralia.com,exchange
Cryptonit.net,exchange
Bit-x.com,exchange
Dispenser.tf,exchange
Hashnest.com,exchange
TheRockTrading.com-old,exchange
SimpleCoin.cz,exchange
Korbit.co.kr,exchange
Justcoin.com,exchange
SimpleCoin.cz-old,exchange
BtcExchange.ro,exchange
MercadoBitcoin.com.br,exchange
OKCoin.com-2,exchange
Banx.io,exchange
SimpleCoin.cz-old2,exchange
TheRockTrading.com,exchange
BitYes.com,exchange
MintPal.com,exchange
Vircurex.com,exchange
CoinMotion.com,exchange
Bitso.com,exchange
FoxBit.com.br-cold,exchange
Bitfinex.com-old,exchange
BX.in.th,exchange
Cex.io,exchange
VaultOfSatoshi.com,exchange
Comkort.com,exchange
CoinMkt.com,exchange
Coins-e.com,exchange
796.com,exchange
BitVC.com,exchange
Bter.com-old2,exchange
Luno.com,exchange
Bitcash.cz,exchange
Coin.mx,exchange
BtcTrade.com,exchange
MasterXchange.com,exchange
LakeBTC.com,exchange
Matbea.com,exchange
OKCoin.com,exchange
VirWoX.com,exchange
BtcMarkets.net,exchange
Exchange-Credit.ru,exchange
CoinHako.com,exchange
SimpleCoin.cz-old5,exchange
ChBtc.com,exchange
CoinCafe.com,exchange
Bitcoin.de-old,exchange
Bitstamp.net-old,exchange
LocalBitcoins.com-old,exchange
Cavirtex.com,exchange
EmpoEX.com,exchange
Bitcoin.de,exchange
Bitfinex.com-old2,exchange
UrduBit.com,exchange
Cryptonit.net-old,exchange
FoxBit.com.br,exchange
Coinomat.com,exchange
OrderBook.net,exchange
Gatecoin.com-2,exchange
BTC-e.com,exchange
FoxBit.com.br-cold-old,exchange
BitBay.net,exchange
Gatecoin.com,exchange
SpectroCoin.com,exchange
Banx.io-old2,exchange
MeXBT.com,exchange
Bter.com-cold,exchange
LiteBit.eu,exchange
McxNOW.com,exchange
BTCC.com-old2,exchange
Exmo.com,exchange
Poloniex.com,exchange
Zyado.com-old,exchange
Exchanging.ir,exchange
CampBX.com-old,exchange
Bter.com,exchange
Banx.io-old,exchange
BitBargain.co.uk,exchange
Huobi.com,exchange
CoinChimp.com,exchange
Paxful.com,exchange
BTradeAustralia.com-incoming,exchange
Bleutrade.com,exchange
Bittrex.com,exchange
BlockTrades.us,exchange
AnxPro.com,exchange
Bitstamp.net,exchange
Bitcoin-24.com,exchange
SimpleCoin.cz-old3,exchange
BTC-e.com-old,exchange
MPEx.co,exchange
CoinSpot.com.au,exchange
Vaultoro.com,exchange
Indacoin.com,exchange
Bter.com-old,exchange
HappyCoins.com,exchange
CoinTrader.net,exchange
SimpleCoin.cz-old4,exchange
FoxBit.com.br-2,exchange
Huobi.com-2,exchange
C-Cex.com,exchange
Dgex.com,exchange
Cryptsy.com-old,exchange
Coinmate.io,exchange
HitBtc.com-old,exchange
LocalBitcoins.com,exchange
FYBSG.com,exchange
MaiCoin.com,exchange
BTCC.com,exchange
Bitfinex.com,exchange
Btc38.com,exchange
BTCt.com,exchange
CoinArch.com,exchange
CampBX.com,exchange
Bitcurex.com,exchange
QuadrigaCX.com,exchange
Kraken.com,exchange
Cryptsy.com,exchange
UseCryptos.com,exchange
Coinbroker.io,exchange
Zyado.com,service
1Coin.com,service
Coingi.com,exchange
ExchangeMyCoins.com,exchange
Genesis-Mining.com,pool
CryptoStocks.com,service
CoinWorker.com,service
BitClix.com,service
MinersCenter.com,pool
CoinHub.cz,exchange
BtcEur.eu,service
SmenarnaBitcoin.cz,exchange
CryptoLocker, ransomware
BitcoinWeBank.com,service
Dgex.com-old,exchange
PonziCoin.co,ponzi
BTC-e.com-output,exchange
BTCC.com-old,exchange
C-Cex.com-old,exchange
UrduBit.com-cold,exchange
CoinPayments.net,service
BitPay.com,wallet
BitPay.com-old,wallet
BitPay.com-old2,wallet
BitPay.com-old3,wallet
Cryptonator.com,wallet
Cryptonator.com-old,wallet
BitoEX.com,service
HaoBTC.com,exchange
Cryptopay.me,wallet
Cryptopay.me-old,wallet
MoonBit.co.in,gambling
BetChain.com-old,gambling
DiceOnCrack.com,gambling
BitAces.me-old,gambling
Bitcoin-24.com-old,exchange
Bitcoin-24.com-old-hotwallet,wallet
ActionCrypto.com,serivce
50BTC.com-old,pool
50BTC.com-old2,pool
50BTC.com-old3,pool
Chainroll.com-old,gambling
Bitcoinica.com-old,service
Btcst.com-pirateat40,ponzi
Just-Dice.com-cold,gambling
Just-Dice.com-cold2,gambling
CloudHashing.com,pool
Europex.eu,exchange
